Pilotos,Nacionalidade,Temporadas,Titulos,Participacao,Largadas,Pole_Positions,Vitorias,Podio,Volta_rapida,Pontos,Ano_titulo,Taxa_pole,Taxa_largadas,Taxa_Vitoria,Taxa_podio,Taxa_volta_rapida,Pontos_largadas,Campeao,Pilotos_1,Idade,Data_acidente,Corrida,Equipe,Evento,Circuito,Nacionalidade_pt
Alberto Colombo,Italy,[1978],0,3,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Alberto Crespo,Argentina,[1952],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Alberto Rodriguez Larreta,Argentina,[1960],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Alberto Uria,Uruguay,"[1955, 1956]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Uruguai
Aldo Gordini,France,[1951],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
Alejandro De Tomaso,Argentina,"[1957, 1959]",0,2,2,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Alessandro Nannini,Italy,"[1986, 1987, 1988, 1989, 1990]",0,78,76,0,1,9,2,65,                                                                                                                                                                                                                                                               ,0.0,0.97,0.01,0.12,0.03,0.83,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Alessandro Pesenti-Rossi,Italy,[1976],0,4,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.75,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Alessandro Zanardi,Italy,"[1991, 1992, 1993, 1994, 1999]",0,44,41,0,0,0,0,1,                                                                                                                                                                                                                                                               ,0.0,0.93,0.0,0.0,0.0,0.02,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Alex Blignaut,South Africa,[1965],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,África do Sul
Alex Caffi,Italy,"[1986, 1987, 1988, 1989, 1990, 1991]",0,75,56,0,0,0,0,6,                                                                                                                                                                                                                                                               ,0.0,0.75,0.0,0.0,0.0,0.08,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Alex Ribeiro,Brazil,"[1976, 1977, 1979]",0,20,10,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.5,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Brasil
Alex Soler-Roig,Spain,"[1970, 1971, 1972]",0,10,6,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.6,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Espanha
Alex Yoong,Malaysia,"[2001, 2002]",0,18,14,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.78,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Malásia
Alexander Albon,Thailand,"[2019, 2020, 2022, 2023, 2024, 2025]",0,128,126,0,0,2,1,313,                                                                                                                                                                                                                                                               ,0.0,0.98,0.0,0.02,0.01,2.48,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Tailândia
Alexander Rossi,United States,[2015],0,7,5,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.71,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Alexander Wurz,Austria,"[1997, 1998, 1999, 2000, 2005, 2007]",0,69,69,0,0,3,1,45,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.04,0.01,0.65,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Áustria
Alfonso De Portago,Spain,"[1956, 1957]",0,5,5,0,0,1,0,4,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.2,0.0,0.8,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Espanha
Alfonso Thiele,United States,[1960],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
Alfredo Pián,Argentina,[1950],0,1,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Argentina
Allan Mcnish,United Kingdom,[2002],0,17,16,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.94,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Reino Unido
Allen Berg,Canada,[1986],0,9,9,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Canadá
Andrea Chiesa,Switzerland,[1992],0,10,3,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.3,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Suíça
Andrea De Adamich,Italy,"[1968, 1970, 1971, 1972, 1973]",0,36,30,0,0,0,0,6,                                                                                                                                                                                                                                                               ,0.0,0.83,0.0,0.0,0.0,0.17,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Andrea De Cesaris,Italy,"[1980, 1981, 1982, 1983, 1984, 1985, 1986, 1987, 1988, 1989, 1990, 1991, 1992, 1993, 1994]",0,214,208,1,0,5,1,59,                                                                                                                                                                                                                                                               ,0.0,0.97,0.0,0.02,0.0,0.28,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
Andrea Montermini,Italy,"[1994, 1995, 1996]",0,29,19,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.66,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Itália
André Guelfi,France,[1958],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
André Lotterer,Germany,[2014],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Alemanha
André Milhoux,Belgium,[1956],0,1,1,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,1.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
André Pilette,Belgium,"[1951, 1953, 1954, 1956, 1961, 1963, 1964]",0,14,9,0,0,0,0,2,                                                                                                                                                                                                                                                               ,0.0,0.64,0.0,0.0,0.0,0.14,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Bélgica
André Simon,France,"[1951, 1952, 1955, 1956, 1957]",0,12,11,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.92,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,França
André Testut,Monaco,"[1958, 1959]",0,2,0,0,0,0,0,0,                                                                                                                                                                                                                                                               ,0.0,0.0,0.0,0.0,0.0,0.0,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Mônaco
Andy Linden,United States,"[1951, 1952, 1953, 1954, 1955, 1956, 1957]",0,8,7,0,0,0,0,5,                                                                                                                                                                                                                                                               ,0.0,0.88,0.0,0.0,0.0,0.62,False,                                                                                                                                                                                                                                                               ,,                                                                                                                                                                                                                                                               ,,,,,Estados Unidos
